"user_id","time_UTC","complete","publisher","gender","age","location","survey_weight","answer","response_time"
"728906598","2017-05-22 12:28:47","Complete","News","Male","35-44","US-WEST-MT-Billings",0.9198625,"Republican Greg Gianforte",11867
"734923837","2017-05-22 20:58:29","Complete","News","Male","35-44","US-WEST-MT-Billings",0.9198625,"I am not likely to vote in this election",7485
"736725105","2017-05-21 11:13:25","Complete","News","Female","65+","US-WEST-MT-Billings",0.8913826,"Republican Greg Gianforte",24952
"737825404","2017-05-23 10:39:54","Complete","News","Unknown","Unknown","US-WEST-MT",0,"Republican Greg Gianforte",13699
"740241126","2017-05-22 16:06:59","Complete","News","Male","35-44","US-WEST-MT-Roundup",0.9198625,"Republican Greg Gianforte",7729
"740353998","2017-05-21 11:44:05","Complete","News","Male","65+","US-WEST-MT-Bozeman",0.8067132,"Democrat Rob Quist",15845
"755023208","2017-05-22 17:46:09","Complete","News","Unknown","Unknown","US-WEST-MT-Billings",0,"Democrat Rob Quist",8812
"755392338","2017-05-21 12:09:42","Complete","News","Female","55-64","US-WEST-MT",0.9741876,"Democrat Rob Quist",21909
"760121838","2017-05-22 12:57:23","Complete","News","Female","45-54","US-WEST-MT-Billings",1.045264,"Republican Greg Gianforte",8020
"760658238","2017-05-22 15:47:40","Complete","News","Female","65+","US-WEST-MT-Missoula",0.8913826,"I am not likely to vote in this election",13822
"763854868","2017-05-22 01:44:35","Complete","News","Male","35-44","US-WEST-MT-Glendive",0.9198625,"I am not likely to vote in this election",14299
"768019383","2017-05-21 10:31:44","Complete","Mobile App","Male","55-64","US-WEST-MT-Billings",0.8816528,"I am not likely to vote in this election",34075
"771468315","2017-05-22 01:06:21","Complete","News","Male","55-64","US-WEST-MT",0.8816528,"I am not likely to vote in this election",15067
"771681113","2017-05-21 08:51:30","Complete","News","Female","55-64","US-WEST-MT-Billings",0.9741876,"Democrat Rob Quist",23479
"773821920","2017-05-23 09:09:01","Complete","News","Unknown","Unknown","US-WEST-MT-Billings",0,"I am not likely to vote in this election",7460
"774835071","2017-05-22 00:05:29","Complete","News","Female","45-54","US-WEST-MT-Bozeman",1.045264,"I am not likely to vote in this election",15491
"782825860","2017-05-22 20:03:23","Complete","News","Female","65+","US-WEST-MT",0.8913826,"Republican Greg Gianforte",7663
"788208565","2017-05-21 09:10:25","Complete","News","Female","35-44","US-WEST-MT-Missoula",1.0164077,"Democrat Rob Quist",8793
"789552056","2017-05-21 16:07:18","Complete","News","Unknown","Unknown","US-WEST-MT",0,"Republican Greg Gianforte",10671
"789630992","2017-05-22 02:21:05","Complete","News","Male","18-24","US-WEST-MT-Bozeman",1.1144773,"Democrat Rob Quist",3143
"793662209","2017-05-22 14:31:09","Complete","News","Female","18-24","US-WEST-MT-Missoula",1.2314484,"Democrat Rob Quist",8149
"79892871","2017-05-21 17:19:32","Complete","News","Female","65+","US-WEST-MT",0.8913826,"Republican Greg Gianforte",20413
"805050939","2017-05-21 21:13:12","Complete","News","Female","45-54","US-WEST-MT-Bozeman",1.045264,"Democrat Rob Quist",14411
"806235211","2017-05-22 15:35:43","Complete","News","Female","65+","US-WEST-MT",0.8913826,"I am not likely to vote in this election",101260
"809753922","2017-05-21 10:11:50","Complete","News","Unknown","Unknown","US-WEST-MT-Butte",0,"I am not likely to vote in this election",3689
"811509","2017-05-23 07:06:05","Complete","News","Female","55-64","US-WEST-MT",0.9741876,"Democrat Rob Quist",15975
"820423554","2017-05-22 15:29:28","Complete","News","Unknown","Unknown","US-WEST-MT-Helena",0,"Democrat Rob Quist",21226
"820867116","2017-05-21 13:57:13","Complete","News","Unknown","Unknown","US-WEST-MT-Glendive",0,"I am not likely to vote in this election",3820
"82094664","2017-05-21 15:38:08","Complete","News","Female","45-54","US-WEST-MT",1.045264,"Democrat Rob Quist",13402
"821295976","2017-05-22 04:07:57","Complete","News","Male","45-54","US-WEST-MT-Glendive",0.9459779,"Republican Greg Gianforte",16300
"833321541","2017-05-22 20:43:36","Complete","News","Unknown","Unknown","US-WEST-MT-Billings",0,"Democrat Rob Quist",26960
"841772968","2017-05-23 07:33:46","Complete","News","Female","Unknown","US-WEST-MT",0,"I am not likely to vote in this election",10288
"842575041","2017-05-23 04:42:04","Complete","News","Male","65+","US-WEST-MT",0.8067132,"Republican Greg Gianforte",14224
"842583266","2017-05-22 04:03:44","Complete","News","Female","25-34","US-WEST-MT-Missoula",1.2026517,"Democrat Rob Quist",6023
"843249790","2017-05-22 09:14:23","Complete","News","Male","45-54","US-WEST-MT-Bozeman",0.9459779,"Republican Greg Gianforte",11615
"846161878","2017-05-22 17:05:58","Complete","News","Female","65+","US-WEST-MT",0.8913826,"Democrat Rob Quist",7403
"854225962","2017-05-22 12:25:39","Complete","News","Male","25-34","US-WEST-MT-Bozeman",1.0884159,"Republican Greg Gianforte",31694
"856328656","2017-05-23 02:59:38","Complete","News","Female","55-64","US-WEST-MT",0.9741876,"Republican Greg Gianforte",6788
"857675413","2017-05-21 15:12:09","Complete","Mobile App","Male","25-34","US-WEST-MT-Havre",1.0884159,"Democrat Rob Quist",9899
"86241","2017-05-23 00:57:33","Complete","News","Female","35-44","US-WEST-MT-Helena",1.0164077,"I am not likely to vote in this election",4868
"863710469","2017-05-22 03:49:26","Complete","News","Female","35-44","US-WEST-MT-Bozeman",1.0164077,"I am not likely to vote in this election",19399
"864107507","2017-05-21 09:42:01","Complete","News","Male","55-64","US-WEST-MT-Missoula",0.8816528,"Democrat Rob Quist",15135
"864361371","2017-05-23 10:03:42","Complete","News","Male","45-54","US-WEST-MT-Billings",0.9459779,"I am not likely to vote in this election",6403
